height_Mm,T6000K_p0.01,T6000K_p0.02,T6000K_p0.05,T6000K_p0.1,T6000K_p0.2,T8000K_p0.01,T8000K_p0.02,T8000K_p0.05,T8000K_p0.1,T8000K_p0.2,T10000K_p0.01,T10000K_p0.02,T10000K_p0.05,T10000K_p0.1,T10000K_p0.2,T12000K_p0.01,T12000K_p0.02,T12000K_p0.05,T12000K_p0.1,T12000K_p0.2,T14000K_p0.01,T14000K_p0.02,T14000K_p0.05,T14000K_p0.1,T14000K_p0.2
51,4.1193104,3.6137473,3.1488571,3.0641132,3.0641424,5.6868235,4.6301608,3.8617928,3.5965838,3.5969575,6.9236101,5.427442,4.0356906,3.8716549,4.0468404,7.7064281,5.4692095,3.7689394,3.7895118,4.0684462,8.1997926,5.363614,3.7721399,3.6990064,3.8893601
52,4.1052672,3.5990721,3.1343434,3.0498081,3.0498033,5.6722333,4.6124756,3.844224,3.5795547,3.579798,6.9072842,5.4059267,4.0169966,3.8536446,4.0275496,7.6861738,5.4455384,3.7513083,3.7722417,4.050098,8.1756965,5.339203,3.7544904,3.6821019,3.8719091
53,4.0814042,3.5772527,3.1171698,3.033948,3.0339855,5.644698,4.5843028,3.8217326,3.5603382,3.5607669,6.8738113,5.370497,3.993048,3.8329641,4.0059784,7.6417524,5.4074356,3.7294879,3.75237,4.0294437,8.1249004,5.3021524,3.733076,3.6627332,3.852258
54,4.0630805,3.5595511,3.1019097,3.0195663,3.0196293,5.6233422,4.5621291,3.8023175,3.5430419,3.5435747,6.8479675,5.3430141,3.9726267,3.8145218,3.9866027,7.6125433,5.3775524,3.7107242,3.7347184,4.0109579,8.0882305,5.2726658,3.7144915,3.6455035,3.8346805
55,4.0453184,3.5419375,3.085949,3.0042462,3.0043395,5.6021751,4.5404135,3.7824039,3.5246843,3.5252916,6.8198295,5.3162546,3.9515961,3.7950465,3.9660514,7.5750293,5.3477224,3.6912124,3.7160319,3.991338,8.0430678,5.2421921,3.694981,3.6272073,3.8159876
56,4.0296155,3.5260809,3.07219,2.991166,2.9912608,5.5858562,4.5207106,3.7649942,3.5090022,3.5096378,6.8013614,5.2926334,3.9331589,3.7783224,3.9484029,7.5521264,5.3225665,3.674354,3.7000364,3.9745237,8.0161732,5.2174443,3.6783984,3.6116472,3.8000342
57,4.0158723,3.5122871,3.059366,2.9787983,2.9788896,5.5705776,4.5037619,3.7491407,3.4942599,3.4948963,6.7833574,5.2722383,3.916524,3.7627207,3.9318732,7.5298476,5.2998707,3.6588954,3.6851378,3.9588152,7.993008,5.1947438,3.6630185,3.5971037,3.7851218
58,4.0021907,3.4984851,3.0466036,2.9663555,2.9664258,5.5559189,4.4867173,3.733426,3.4794565,3.4800357,6.7663773,5.2516256,3.8998042,3.7470343,3.9151971,7.5089026,5.2774723,3.6433402,3.6701145,3.9429548,7.9685227,5.1723819,3.6475668,3.5824464,3.770065
59,3.9895659,3.4854838,3.0342721,2.9544286,2.9544954,5.5431083,4.4711497,3.7182478,3.465265,3.4658437,6.7519057,5.2330419,3.8839936,3.7320481,3.899304,7.4909586,5.2571876,3.628707,3.6558376,3.9278676,7.9472502,5.1519623,3.6330019,3.5685262,3.7557555
60,3.9755808,3.4709942,3.0208199,2.9413963,2.9414491,5.5285289,4.4535248,3.7016202,3.4497146,3.4502514,6.7375035,5.2117473,3.8664116,3.7155374,3.8817454,7.4702908,5.2339393,3.6123962,3.6400459,3.9111545,7.9227647,5.1286967,3.6167938,3.5531164,3.739887
61,3.9593979,3.4554103,3.0074934,2.9287538,2.9288176,5.5113859,4.4338967,3.6847474,3.4345765,3.4351755,6.7157798,5.1877329,3.8486133,3.6994204,3.864781,7.4437296,5.2085595,3.5960491,3.6246247,3.8949888,7.8922485,5.1036206,3.6006712,3.5380939,3.7245416
62,3.9409435,3.4377653,2.9929001,2.9149496,2.9150175,5.4909258,4.4116163,3.6660584,3.4179884,3.4186262,6.6917108,5.1601792,3.8286918,3.6816387,3.8460495,7.4166894,5.1793588,3.5778014,3.6075573,3.8770889,7.8581706,5.0752969,3.5827432,3.5214696,3.7075379
63,3.921636,3.42002,2.9782461,2.9011176,2.901204,5.4674154,4.3887521,3.6473025,3.4013633,3.4020815,6.6619075,5.1314106,3.8087449,3.6638563,3.8273509,7.3796251,5.1482315,3.5594438,3.5904755,3.8592141,7.8159533,5.0448733,3.5645851,3.5047919,3.6905412
64,3.9094766,3.4070849,2.96562,2.8888106,2.8888934,5.4540148,4.373332,3.6319024,3.3867285,3.3874282,6.6458971,5.1126802,3.7926706,3.6484027,3.810917,7.3594919,5.1272979,3.5444601,3.5757337,3.8435886,7.7923011,5.0235848,3.5495469,3.490377,3.6757008
65,3.896264,3.3931783,2.9523886,2.8760089,2.8761228,5.4382348,4.3566662,3.6156256,3.3714918,3.3722447,6.6242549,5.0927927,3.7757714,3.6323158,3.7939038,7.3301399,5.104389,3.528772,3.5603831,3.8273915,7.757109,4.9995405,3.5337548,3.4753524,3.6603024
66,3.8822893,3.379321,2.9392238,2.8630439,2.8631322,5.4228275,4.3393876,3.5995604,3.3560741,3.3567299,6.6058122,5.0715308,3.7585726,3.6159585,3.7764376,7.306838,5.0809582,3.5125989,3.5446727,3.8107447,7.7317171,4.9762355,3.5175907,3.4599799,3.6444735
67,3.8646706,3.3627014,2.9267091,2.8515828,2.8517086,5.4029751,4.3180323,3.5830086,3.3422637,3.3430995,6.5842142,5.045741,3.7412297,3.6011242,3.7610595,7.2780417,5.0545666,3.4971157,3.5305099,3.7960591,7.6990202,4.9512309,3.5025705,3.4462647,3.6305654
68,3.8591861,3.3547249,2.9166438,2.8413513,2.8414445,5.3990018,4.3098199,3.571519,3.3302641,3.3309728,6.5809249,5.0365526,3.7294348,3.5886422,3.7475724,7.2733199,5.0433813,3.4858945,3.5186956,3.7833288,7.6920073,4.9388011,3.4911211,3.434706,3.6185069
69,3.8392631,3.3369104,2.9030579,2.8286625,2.828768,5.3767496,4.2863092,3.5537602,3.314995,3.3157891,6.552353,5.0073752,3.7103868,3.5722036,3.7303671,7.238535,5.0130454,3.4685692,3.5028793,3.7668589,7.6527866,4.9099894,3.4742215,3.4193292,3.6028739
70,3.8315356,3.327484,2.8923579,2.8178772,2.8179448,5.3697634,4.2757381,3.5412511,3.3022918,3.302952,6.5449795,4.9948788,3.6973113,3.5588811,3.7160143,7.2287706,4.9987062,3.4561672,3.4902017,3.7532643,7.6402914,4.8945691,3.4616637,3.406926,3.589985
71,3.8167358,3.3127036,2.8800714,2.8062765,2.8063551,5.3539787,4.2574713,3.5255579,3.2884036,3.2891311,6.5267938,4.9728783,3.6808141,3.544047,3.7004267,7.2088018,4.9757045,3.4412198,3.4760417,3.7383991,7.6144085,4.8722778,3.4469982,3.393173,3.5758997
72,3.7975275,3.2957423,2.8667267,2.7937572,2.7938518,5.3308127,4.2350171,3.5083001,3.2733509,3.2741715,6.4980965,4.9446355,3.6624022,3.5279116,3.6834925,7.173978,4.9461006,3.4243237,3.4605172,3.7221976,7.5753113,4.8440985,3.430431,3.3780489,3.5605113
73,3.7829957,3.2815662,2.8545605,2.7821595,2.7822628,5.3141904,4.2172274,3.492938,3.2594917,3.2603679,6.4777522,4.9231385,3.6462421,3.5131614,3.6679479,7.1487424,4.9228665,3.4095155,3.4464176,3.7073746,7.5463386,4.8213494,3.4157839,3.3643134,3.54645
74,3.7699895,3.2686487,2.8428914,2.7708829,2.7709855,5.2992245,4.2011829,3.4784589,3.2460715,3.2469649,6.4592979,4.9035133,3.6310171,3.4989373,3.6528969,7.1257641,4.9015753,3.3954349,3.4328231,3.6930395,7.5198333,4.8002286,3.4017661,3.3510504,3.5328489
75,3.7588223,3.25716,2.8315107,2.759691,2.7597829,5.2860878,4.187313,3.4646918,3.2328131,3.2336715,6.4446338,4.8863626,3.6165966,3.4849525,3.6380013,7.1048202,4.8821827,3.3819017,3.419472,3.6788748,7.4978415,4.7804652,3.3881301,3.3379855,3.5194022
76,3.7419724,3.2411955,2.8183784,2.7472694,2.7473837,5.2674027,4.1669024,3.4478829,3.2179221,3.2188745,6.4198153,4.8613468,3.5988746,3.4690423,3.6212835,7.0737537,4.8557321,3.3656978,3.4042198,3.6628872,7.4622269,4.7546823,3.3721408,3.323119,3.5042194
77,3.732577,3.2300102,2.8065133,2.7354625,2.7355608,5.257871,4.1541612,3.4337213,3.2039498,3.2048244,6.4073438,4.8462826,3.5840726,3.4543047,3.6055159,7.0554694,4.8381112,3.3518056,3.3901736,3.647888,7.4384167,4.7356901,3.3580669,3.3093669,3.489976
78,3.7126417,3.2128533,2.7940497,2.7239562,2.7240813,5.233505,4.1311757,3.4172307,3.1900829,3.1911045,6.3767253,4.8174412,3.566475,3.4393747,3.5899675,7.0185946,4.8086139,3.3358792,3.3758058,3.632988,7.3975537,4.7082946,3.342582,3.2954109,3.475841
79,3.7007496,3.2005633,2.78343,2.7138489,2.7139795,5.2209929,4.116106,3.4038324,3.1780358,3.1791061,6.3622038,4.799513,3.5525306,3.4265608,3.5764748,7.0026838,4.7899244,3.3232071,3.3636157,3.6201466,7.3764093,4.6898485,3.3300836,3.2835692,3.4636902
80,3.6923602,3.1915051,2.7735032,2.7038622,2.7039623,5.2119359,4.1053766,3.3921808,3.1662853,3.1672499,6.3514593,4.7863349,3.5402637,3.4142251,3.5632181,6.9891556,4.7747847,3.3115294,3.3518465,3.6075725,7.3602111,4.6742009,3.3182795,3.2720517,3.4517679
81,3.677372,3.1773931,2.7620417,2.6929959,2.6931021,5.1948457,4.0872223,3.3775261,3.153289,3.1543094,6.3306664,4.7641259,3.5247437,3.4003336,3.5486032,6.9637183,4.7516259,3.2973754,3.3385435,3.5936145,7.3313208,4.6520021,3.3043757,3.2591165,3.4385406
82,3.6636677,3.1644458,2.7511017,2.6825662,2.6826789,5.1788731,4.0706817,3.3637088,3.1408484,3.1419236,6.3111306,4.7440339,3.5102136,3.387101,3.5346623,6.9399545,4.7302518,3.2840408,3.3258904,3.5803211,7.3043882,4.6313654,3.2912149,3.2468,3.4259426
83,3.651129,3.1519202,2.7403776,2.6722976,2.6724101,5.1653752,4.0550117,3.3502046,3.128618,3.1297211,6.2970946,4.7252517,3.4960126,3.374079,3.5209209,6.9204856,4.7105911,3.2710793,3.3134607,3.567224,7.2819365,4.6122932,3.2784394,3.2347187,3.4135427
84,3.6413391,3.1415991,2.7300265,2.6620643,2.6621575,5.1549628,4.0425404,3.3377414,3.1165195,3.1175621,6.2849739,4.7100715,3.4828911,3.3613034,3.5072716,6.905363,4.6938134,3.2587893,3.3012688,3.5542458,7.2640208,4.5953923,3.2661283,3.2228139,3.4012414
