status,height_Mm,temperature_K,pressure_dyn_cm2,pressure_Pa,i_ne_over_nH,f_cm3,f_1e16_cm3,proton_fraction_np_over_nH,f_proton_cm3,f_proton_1e16_cm3,ne_cm3,nH_cm3,n2_cm3,hydrogen_population_sum_over_nH,reconstructed_pressure_Pa,pressure_relative_error,center_index,n_depth_points,iterations,duration_s,bc_type,boundary_source,Nhalf_points,Nrays,threads_per_model,JTol,popsTol,error_type,error_message
ok,3,6000,0.02,0.002,0.6401165582289349,7.326766470881088e+16,7.326766470881088,0.639566030778956,7.314169229074926e+16,7.314169229074927,8952680083.637428,13986015466.32003,1093.9407035627778,1.0,0.00200004833756,2.41687800150818e-05,45,91,64,23.22871403899626,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,6000,0.05,0.005,0.4066734504198348,6.8151009559524616e+16,6.815100955952461,0.4061870472258147,6.79880825487674e+16,6.79880825487674,16442892097.591984,40432666751.70691,3967.200226093597,1.0,0.0050001112059786,2.2241195722118298e-05,45,91,65,23.584688603004903,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,6000,0.1,0.01,0.2476059687510032,6.6804326274817e+16,6.6804326274817,0.2471457634292053,6.655622937960018e+16,6.655622937960017,22410388409.05141,90508272163.61523,7517.859046710693,1.0,0.0100000841178763,8.411787636060373e-06,45,91,66,23.78832051399513,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,6000,0.2,0.02,0.1444818110480098,6.655344912327597e+16,6.655344912327597,0.1440390266758644,6.614614980532431e+16,6.614614980532431,28345103120.406944,196184577939.6284,12072.174793199589,1.0,0.0200000988460168,4.942300842539215e-06,45,91,66,14.907848375005416,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,8000,0.01,0.001,0.8388698739272329,1.0226653098442038e+17,10.22665309844204,0.8377854176739289,1.0200229001762424e+17,10.200229001762423,3945204455.183344,4702999330.1745,152.19679442895807,1.0,0.0009999709203701,-2.907962987769297e-05,45,91,90,26.14910808300192,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,8000,0.02,0.002,0.7392603065501774,9.351231026156752e+16,9.351231026156752,0.7382061608392954,9.32458132830787e+16,9.32458132830787,7332913116.4330845,9919257197.309511,575.0217765206459,1.0,0.0019999399132849,-3.0043357521171085e-05,45,91,91,18.81458421199932,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,8000,0.05,0.005,0.5521400821008294,8.668662274755986e+16,8.668662274755986,0.5511102285209383,8.63635479552106e+16,8.63635479552106,15256050056.079998,27630759929.676693,2684.924800812708,1.0,0.0049998971020648,-2.0579587035364496e-05,45,91,93,32.99582196598931,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,8000,0.1,0.01,0.4014307361129611,8.446229107794078e+16,8.446229107794078,0.4004131730503885,8.403463683769285e+16,8.403463683769285,24431444176.46382,60860920648.55966,7067.005369258337,1.0,0.0099999224856186,-7.751438136499587e-06,45,91,94,33.684767172002466,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,8000,0.2,0.02,0.3083649113743678,8.396511507559328e+16,8.396511507559328,0.307359026807914,8.341822107092054e+16,8.341822107092055,40039943793.29361,129845978956.67662,19093.609262927377,1.0000000000000002,0.0199999696117791,-1.519411045071417e-06,45,91,95,34.04140504999668,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,10000,0.01,0.001,0.9268671416807828,1.2682970423837693e+17,12.682970423837691,0.8801331847416635,1.1436227843774632e+17,11.436227843774631,3334809587.8471203,3597937005.0811915,87.68415139008131,1.0000000000000002,0.0009999728941543,-2.710584561665952e-05,45,91,104,37.05233508700621,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
